seller_id,seller_name,email,phone,location_id,gstin,rating,joined_date,is_verified,src_created_date,src_updated_date
SEL0001,Fast Hub,seller1@fasthub.in,+917398790354,LOC0265,25U96434P452Z4,3.7,2023-06-03,Y,2023-06-03,2023-06-03
SEL0002,Top Point,seller2@toppoint.in,+917690250892,LOC0214,10Y60652O403Z3,4.3/5,2021-09-22,Y,2021-09-22,2021-09-22
SEL0003,Top Mart,seller3@topmart.in,+917642422715,LOC0167,27R33987I113Z2,3.7/5,2021-10-21,Y,2021-10-21,2021-10-21
SEL0004,Super Point,seller4@superpoint.in,+917675307885,LOC0250,17I99601B548Z5,3.9/5,2020-04-04,Y,2020-04-04,2020-04-04
SEL0005,Star Hub,seller5@starhub.in,+919329642931,LOC0212,14E94938C735Z9,4.1/5,2020-05-31,Y,2020-05-31,2020-05-31
SEL0006,Mega World,seller6@megaworld.in,+916603303590,LOC0035,35W55732K737Z5,3.7,2021-08-19,Y,2021-08-19,2021-08-19
SEL0007,Best Zone,seller7@bestzone.in,+916099378302,LOC0072,13U66670Q085Z0,4.1,2023-05-21,N,2023-05-21,2023-05-21
SEL0008,Mega Shop,seller8@megashop.in,+918468813654,LOC0171,30C19181R281Z9,4.8,2023-01-08,Y,2023-01-08,2023-01-08
SEL0009,Smart Store,seller9@smartstore.in,+917189125757,LOC0239,24X25129K786Z0,3.8/5,2023-11-01,Y,2023-11-01,2023-11-01
SEL0010,Super Depot,seller10@superdepot.in,+917834593767,LOC0078,18H95873Y959Z2,3.4,2020-02-08,Y,2020-02-08,2020-03-21
SEL0011,Best Hub,seller11@besthub.in,+919627951658,LOC0021,34E85155H334Z2,3.8,2020-07-25,Y,2020-07-25,2020-10-11
SEL0012,Smart Shop,seller12@smartshop.in,+916528753853,LOC0193,10O36077M336Z9,4.6,2020-02-25,Y,2020-02-25,2020-04-22
SEL0013,Fast World,seller13@fastworld.in,+916522713644,LOC0084,34G17955N331Z8,3.7/5,2023-03-30,Y,2023-03-30,2023-03-30
SEL0014,Prime Point,seller14@primepoint.in,+917719311249,LOC0052,21L41643W167Z0,4.9,2020-02-03,Y,2020-02-03,2020-03-28
SEL0015,Top Mart,seller15@topmart.in,+916761748451,LOC0290,10E82270B934Z5,4.2,2020-10-15,Y,2020-10-15,2020-10-15
SEL0016,Flash Hub,seller16@flashhub.in,+916650174290,LOC0093,21D20734M549Z5,3.1,2020-12-23,Y,2020-12-23,2020-12-23
SEL0017,Quick Point,seller17@quickpoint.in,+916619939055,LOC0209,11R69822D053Z1,3.8/5,2020-03-11,Y,2020-03-11,2020-03-11
SEL0018,Star Point,seller18@starpoint.in,+918305225771,LOC0226,14T04774E585Z9,4.3,2022-04-30,Y,2022-04-30,2022-04-30
SEL0019,Star Palace,seller19@starpalace.in,+916557519425,LOC0074,17V11649D334Z2,4.5,2021-02-05,Y,2021-02-05,2021-04-12
SEL0020,Star Palace,seller20@starpalace.in,+919794959397,LOC0137,34E56529X060Z3,5,2022-11-30,Y,2022-11-30,2022-11-30
SEL0021,Quick Bazaar,seller21@quickbazaar.in,+916050304852,LOC0293,25P53967G794Z8,3.9,2020-11-27,Y,2020-11-27,2020-11-27
SEL0022,Mega Shop,seller22@megashop.in,+916800235735,LOC0131,20Z78715Y841Z5,3.9,2021-11-21,Y,2021-11-21,2021-11-21
SEL0023,Mega Hub,seller23@megahub.in,+919565157685,LOC0057,13R42547N818Z2,3.8,2020-07-12,N,2020-07-12,2020-09-09
SEL0024,Mega Bazaar,seller24@megabazaar.in,+916952868958,LOC0009,16X58929Q808Z5,4.1,2020-10-17,Y,2020-10-17,2020-10-17
SEL0025,Mega Hub,seller25@megahub.in,+916711399124,LOC0116,34W28963I064Z6,4.8/5,2022-02-05,N,2022-02-05,2022-05-04
SEL0026,Star Point,seller26@starpoint.in,+916001518755,LOC0039,18W84399C062Z2,4,2021-10-21,Y,2021-10-21,2021-11-29
SEL0027,Smart Depot,seller27@smartdepot.in,+917679330782,LOC0100,17L13426D923Z7,3.3,2020-11-22,Y,2020-11-22,2020-11-22
SEL0028,Top Mart,seller28@topmart.in,+918251597773,LOC0053,34U97374D897Z2,3.1/5,2023-07-28,N,2023-07-28,2023-09-06
SEL0029,Top Zone,seller29@topzone.in,+919827317300,LOC0131,13U76927Y438Z1,3.2/5,2020-03-24,Y,2020-03-24,2020-03-24
SEL0030,Super Shop,seller30@supershop.in,+918855769339,LOC0254,32N60144I856Z4,5,2021-05-09,Y,2021-05-09,2021-05-09
